INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2020-10-20 09:00:00,1.091199169175,2334.478,4.99219916917463,2872.363,48.9554020887122,30.7584822866672,54.891199169175
BA1-PZE-01 (2),2020-10-20 21:00:00,1.088569248352,2334.276,4.98956924835176,2872.402,48.9296120857526,30.7605232764351,54.888569248352
BA1-PZE-01 (2),2020-10-21 09:00:00,1.085887602602,2334.161,4.98688760260155,2872.442,48.9033148485009,30.7616853157342,54.885887602602
BA1-PZE-01 (2),2020-10-21 21:00:00,1.08192964929,2333.977,4.98292964929045,2872.501,48.8645016543097,30.7635447139721,54.88192964929
BA1-PZE-01 (2),2020-10-22 09:00:00,1.090113542057,2333.577,4.99111354205688,2872.377,48.944756016657,30.7675874589183,54.890113542057
BA1-PZE-01 (2),2020-10-22 21:00:00,1.082166369441,2333.415,4.9831663694407,2872.496,48.8668230220574,30.7692249947221,54.882166369441
BA1-PZE-01 (2),2020-10-23 09:00:00,1.08741123248,2333.341,4.98841123247996,2872.417,48.918256142068,30.7699730478992,54.88741123248
BA1-PZE-01 (2),2020-10-23 21:00:00,1.08438655397,2333.166,4.98538655397026,2872.462,48.8885949952237,30.7717421998672,54.88438655397
BA1-PZE-01 (2),2020-10-24 09:00:00,1.088687698246,2333.022,4.98968769824601,2872.397,48.930773650427,30.7731980723201,54.888687698246
BA1-PZE-01 (2),2020-10-27 09:00:00,1.08307534428,2331.336,4.98407534428045,2872.477,48.8757367747459,30.7902515148359,54.88307534428
BA1-PZE-01 (2),2020-10-27 21:00:00,1.087078470928,2331.395,4.9880784709285,2872.417,48.9149929558448,30.7896545088346,54.887078470928
BA1-PZE-01 (2),2020-10-28 09:00:00,1.089094971728,2331.512,4.99009497172828,2872.387,48.9347675289576,30.7884706663687,54.889094971728
BA1-PZE-01 (2),2020-10-28 21:00:00,1.083034110676,2331.095,4.9840341106762,2872.477,48.8753324223545,30.7926903109235,54.883034110676
